DialogueID,NpcID,DialogueText,DialogueChoiceID,LoofDialogueID,EndCheck,TriggerID
7001,PC,젠장... 무슨 일이 일어난 건지… 이게 다 뭐야?,,,TRUE,
7002,PC,알파 1;  여기는 이동형 통신기 F-05. 수신되는가?,,,FALSE,
7003,군인,(잡음)…F-05; 수신 양호. 상황 보고하라.,,,FALSE,
7004,PC,웨스트번 제인 1번지; 동쪽 통행로 터널 인근.,,,FALSE,
7005,PC,터널 붕괴 등 현장 이상 징후 확인. 부상 발생. 구조 요청한다.,,,FALSE,
7006,군인,F-05; 상급부대 지시 전달한다. 해당 지역은 14시부로 통제구역으로 지정됨.,,,FALSE,
7007,군인,지정 사유는 비공개. 가능한 현 위치에서 즉시 이탈하라.,,,FALSE,
7008,PC,이탈이 불가능하다. 차량 파손; 휴대 단말기 분실. 장거리 이동 불능 상태.,,,FALSE,
7009,군인,하급 부대에서 병력 이동 제한되었다. 지휘부 병력 7일 이내 현장 파견 예정. 버틸 수 있겠나?,,,FALSE,
7010,PC,...일주일이라고? 대체 무슨 상황이야?,,,FALSE,
7011,군인,자세히 설명할 수 없다. 7일 이내 현장 도달 예정. 7일만 버텨라; F-05. 현 위치...(잡음),,,FALSE,
7012,PC,알파 1; 수신 불량. 반복; 수신 불량. 알파 1. 응답하라.,,,FALSE,
7013,PC,...젠장.,,,TRUE,
7014,경비병 1,정지! 움직이면 쏜다!,,,FALSE,
7015,경비병 2,누구냐! 신원을 밝혀!,,,FALSE,
7016,경비병 1,지긋지긋한 시체 놈들은 아니군. 좀도둑인가? 죽기 싫으면 가만히 있어.,,,FALSE,
7017,경비병 2,...감염의 흔적은 보이지 않아.,,,FALSE,
7018,경비병 1,이 자식은 무슨 생각으로 이렇게 밖을 나돌아다니는 거야?,,,FALSE,
7019,경비병 1,따라 와라!,,,TRUE,
7020,PC,...생존자들이 모인 장소인가.,,,FALSE,
7021,경비병 2,잔말 말고 계속 걸어.,,,TRUE,
7022,자경단장,당신이로군. 혼자서 저 바깥을 돌아다닌다는 정신나간 사람이.,,,FALSE,
7023,자경단장,외부인이 어째서 이곳에 있는 거지?,,,FALSE,
7024,PC,이곳이 내 고향이오. 오랜만에 집으로 돌아오는 길인데; 모든 게 엉망이군.,,,FALSE,
7025,자경단장,오랜만이라… 제인 1번지가 이런 지옥같은 모습으로 변한 건 반 년도 더 된 일인데 말이지.,,,FALSE,
7026,PC,반 년이라고…?,,,FALSE,
7027,자경단장,일주일 뒤면 이곳에 군대가 올 예정이오. ,,,FALSE,
7028,자경단장,그래; 그래... 상황이 이 지경이 될 때까지 어디서 뭘 하다가; 이제서야 군대를 보내겠다니.,,,FALSE,
7029,자경단장,당신; 지난 번 감염 확산이 심한 서부 지역에 군이 무차별 폭격을 가한 사실을 알고 있소?,,,FALSE,
7030,PC,…나는 며칠 전까지 군인이었소. 지금은 퇴역했지만; 생전 처음 듣는 얘기로군.,,,FALSE,
7031,자경단장,민가를 폭격한 사실은 군 내부에서도 숨기는 건가…,,,FALSE,
7032,자경단장,하지만 이는 사실이오. 그리고 제인 1번지도 그렇게 될 것이오. 감염을 차단한다는 명목으로 전부 죽게 되겠지.,,,FALSE,
7033,자경단장,우리는… 이제 와서 죽으려고; 여기까지 온 게 아니야.,,,FALSE,
7034,자경단장,뭐; 이젠 자네도 우리와 한 배를 탄 셈이 아닌가?,,,FALSE,
7035,자경단장,…고향에 돌아온 걸 환영하지.,,,TRUE,
7036,PC,군대가 사람들을 공격한다니… 이 상황을 설명해 줄 사람이 필요하다.,,,FALSE,
7037,PC,통신 장비를 고쳐야 해.,,,TRUE,
7038,자경단장,여기 사람들은 다 똑같아.,,,FALSE,
7039,자경단장,그저 살기 위해 매 순간 최선을 다하는 사람들이다.,,7038,TRUE,
7040,단원1,그 친구가 내 소중한 라디오를 고쳐 줬어.,,,FALSE,
7041,단원1,어떻게 보답을 하면 좋을까…,,7040,TRUE,
7042,단원2,…말 걸지 마.,,,FALSE,
7043,단원2,누구랑 더 이상 친해질 생각 없으니까.,,7042,TRUE,
7044,단원3,가지고 있는 그거; 무전기야?,,,FALSE,
7045,단원3,으음… 나는 기계에 대해선 잘 몰라서.,,7044,TRUE,
7046,단원4,단장은 대단한 사람이야.,,,FALSE,
7047,단원4,단장이 없었다면 수많은 사람들도; 이 캠프도; 전부 없었을거야.,,7046,TRUE,
7048,단원5,혹시 당신; 할 일이 있습니까? 여유가 된다면 잠깐 도와주실 수 있습니까?,VigilanteChoice1,,FALSE,
7049,단원5,최근에 자경단 캠프 주변까지 감염자들이 보이기 시작했습니다. ,,,FALSE,V01Receive
7050,단원5,분명 이 주변은 확실하게 청소했을 텐데…,,,FALSE,
7051,단원5,어쨌든; 튼튼하고 쓸만한 무기 하나를 구해다 주실 수 있습니까?,,,FALSE,
7052,단원5,지켜야 할 사람들이 많은 상황인지라…,,7051,TRUE,
7053,단원5,일은 잘 마무리 되셨습니까?,,,FALSE,V01Clear
7054,단원5,정말 감사합니다. 별 건 아니지만; 받아주십시오.,,,FALSE,
7055,단원5,최근에 걱정거리가 너무 많았는데 덕분에 한숨 돌릴 수 있게 되었네요.,,,FALSE,
7056,단원5,참; 혹시 도움이 필요하시다면 기술자를 한번 찾아가 보십시오.,,,FALSE,
7057,단원5,망가진 물건을 수리하는 데 일가견이 있는 사람입니다.,,,FALSE,
7058,단원5,도와주신 일은 잊지 않을게요.,,7058,TRUE,
7059,단원6,으으… 나는; 나는 어쩌면…,,,FALSE,
7060,단원6,...저기 혹시; 일손 좀 남아?,VigilanteChoice2,,FALSE,
7061,단원6,나는... 저번 탐사에서 동료 하나를 잃었어.,,,FALSE,V02Receive
7062,단원6,함께 필요한 물건을 찾아 캠프로 복귀하던 도중에... 당하고 말았지.,,,FALSE,
7063,단원6,필요한 물건이 아직 그 녀석에게 있어. 그 물건을 되찾아 와 줘.,,,FALSE,
7064,단원6,나는… 그 녀석의 모습을 마주할 자신이... 나는 도저히 못 하겠어…,,,FALSE,
7065,단원6,…그럼; 부탁할게.,,,FALSE,
7066,단원6,아아… 오스카…,,7066,TRUE,
7067,단원6,아; 너구나.,,,FALSE,
7068,단원6,정말… 고마워. 난 도저히 할 수가 없어서…,,,FALSE,V02Clear
7069,단원6,여기. 작지만 내 보답이야.,,,FALSE,
7070,단원6,...혹시 필요한 게 있다면 기술자를 찾아가 봐.,,,FALSE,
7071,단원6,망가진 물건을 고쳐야 할 일이 있다면 분명 도움이 될 거야.,,,FALSE,
7072,단원6,…,,7072,TRUE,
7073,자경단 기술자,무슨 일이야?,,,FALSE,
7074,자경단 기술자,오; 그건… 군용 통신기인가. 그리운 물건이네.,,,FALSE,
7075,자경단 기술자,상태를 봐 달라고? 으음… 그래.,,,FALSE,
7076,자경단 기술자,통신칩이 충격을 받아 부서졌네. 부품을 찾아서 교체해야 해.,,,FALSE,
7077,자경단 기술자,안테나가 완전히 부러진 건… 도저히 손을 쓸 수가 없겠는데. ,,,FALSE,
7078,자경단 기술자,하지만 아예 희망이 없는 건 아니야. 내 부탁 한 가지만 들어준다면 말이지.,,,FALSE,
7079,자경단 기술자,나에겐 광철이 필요해. 두 개 정도만 구해준다면; 통신 장비를 고칠 방법을 알려 줄게.,VigilanteChoice3,7073,FALSE,
7080,자경단 기술자,광철 두 개! 빨리 가서 구해 와! 기다리고 있을 테니까!,,7080,TRUE,V03Receive
7081,자경단 기술자,응? 벌써 가져온거야?,,,FALSE,
7082,자경단 기술자,고마워! 부탁한 만큼이네.,,,FALSE,
7083,자경단 기술자,도시의 서쪽으로 가면; 큰 병원이 하나 있어. ,,,FALSE,
7084,자경단 기술자,우리가 예전에 기지로 쓰던 건물이지. 지금은 버려졌지만.,,,FALSE,
7085,자경단 기술자,거기로 가면 통신 장비를 고칠 수 있을 만한 부품들이 분명 남아 있을거야.,,,FALSE,V03Clear
7086,자경단 기술자,행운을 빌어.,,,FALSE,
7087,자경단 기술자,참; 단장이 할 말이 있어 보이던데; 한번 찾아가 보는 게 어때?,,7087,TRUE,
7088,자경단장,할 말이 있는데; 잠깐 시간 좀 내 주게.,,,FALSE,
7089,자경단장,사실; 처음에는 자네를 의심했다네. 하지만 자네가 첩자라도 된다면 이렇게 열심히 도와주었을 리 없지.,,,FALSE,
7090,자경단장,이 곳에 온 지 얼마 되지도 않았는데; 꽤나 도움이 되었어. 정말 고맙네.,,,FALSE,
7091,자경단장,...,,,FALSE,
7092,자경단장,이곳 사람들은… 우리가 처한 상황이 이 지경이 되도록 내버려 둔 놈들을 그닥 좋아하지 않아.,,,FALSE,
7093,자경단장,하지만; 군대와 맞서 싸우는 건 말도 안 되는 짓이야.,,,FALSE,
7094,자경단장,자네; 통신 장비를 고처러 떠난다고 했었지?,,,FALSE,
7095,자경단장,만약 통신을 복구하는 데 성공한다면; 부디 나를 군대와 연결해 주게. 내가 그들을 설득할 수 있도록 말이야.,,,FALSE,VEND
7096,자경단장,불필요한 희생은; 막아야 하지 않겠나?,,,FALSE,
7097,자경단장,떄가 되면; 나를 군대와 연결해 주게. 내가 그들을 설득할 수 있도록 말이야.,,7097,TRUE,
7098,의사,…자경단에서 오신 분인가요.,,,FALSE,
7099,의사,저희는 절대로; 환자들을 넘기지 않을 겁니다. 당신들의 태도에는 신물이 나요.,,,TRUE,DocConv01
7100,의사,이런… 죄송합니다.,,,FALSE,
7101,의사,여태 찾아왔던 분들과는 다르군요. 무례하게 군 것을 사과드립니다.,,,FALSE,DocConv02
7102,의사,저희는 '시민 공동체'라는 이름으로 활동하는 사람들입니다. 그다지 많은 인원은 아니지만…,,,FALSE,
7103,의사,바이러스에 감염된 사람들; 다친 사람들을 보살피고 있습니다.,,,FALSE,
7104,의사,자경단에서는 저희를 그다지 좋아하지 않지요.,,,FALSE,
7105,의사,…손님에게 말이 너무 많았네요.,,,FALSE,
7106,의사,통신 장비를 고치러 이동하고 계시다구요?,,,FALSE,
7107,의사,넉넉하지는 않지만; 필요한 게 있다면 가져가셔도 좋습니다.,,,FALSE,
7108,의사,이곳에 계시는 동안에는 편히 머무르세요.,,,TRUE,
7109,의사,상황이 해결될 그 때까지; 우리는 인간다움을 잃어선 안 됩니다.,,,FALSE,
7110,의사,감염된 사람들도; 스스로 원해서 그렇게 된 것이 아닙니다.,,7109,TRUE,
7111,멤버1,감염된 사람들과 가까이 있는 건 분명 무모한 짓이지만…,,,FALSE,
7112,멤버1,우리가 아니면; 누가 이 사람들을 돌보겠나?,,7111,TRUE,
7113,멤버2,자경단 사람들은 군대가 우리들을 전부 죽일 것이라고 생각하죠.,,,FALSE,
7114,멤버2,하지만; 나라가 무고한 시민들을 죽일 리 없습니다.,,,FALSE,
7115,멤버2,지금의 혼란을 통제하고; 살아남은 이들을 구출하기 위해 오는 겁니다.,,,FALSE,
7116,멤버2,어쩌면 당연하지 않습니까? ,,7113,TRUE,
7117,멤버3,진통제 열 세 개; 붕대 다섯 팩; 주사 10 바늘…,,,FALSE,
7118,멤버3,일주일 정도는 쓰겠군.,,7117,TRUE,
7119,멤버4,이 곳으로는 못 들어갑니다.,,,FALSE,
7120,멤버4,감염자들이 관리를 받고 있는 곳입니다.,,,FALSE,
7121,멤버4,치료는 할 수 없지만; 마지막까지 최선을 다 하기 위해서 말입니다.,,7119,TRUE,
7122,멤버5,저; 저기!,,,FALSE,
7123,멤버5,바쁜 거 알지만… 자; 잠시만 도와주시겠어요…?,,,FALSE,
7124,멤버5,북쪽으로 가면 작은 창고가 하나 있는데요;,,,FALSE,
7125,멤버5,그곳에 있는 의료용 파우치를 가져다 주세요.,,,FALSE,
7126,멤버5,감염자들이 있을 지도 모르니; 부디 조심하세요.,CivilChoice1,7122,FALSE,
7127,멤버5,한창 바쁜 시기에… 메리는 갑자기 어디로 간 건지...,,7127,TRUE,Civil01Receive
7128,멤버5,와 주셨군요!,,,FALSE,
7129,멤버5,정말 감사해요. 이걸로 군대가 올 때까지 충분히 버틸 수 있겠어요.,,,FALSE,
7130,멤버5,별 건 아니지만; 저도 드리고 싶은 것이 있습니다.,,,FALSE,Civil01Clear
7131,멤버5,다시 한번 깊이 감사드립니다.,,,FALSE,
7132,멤버5,아 참; 당신은 통신 장비를 고치기 위해 여기저기 돌아다니고 계시지요?,,,FALSE,
7133,멤버5,마침 이 곳에 도움이 될 만한 분이 한 분 계시는데; 한번 찾아가 보시겠어요?,,,FALSE,
7134,멤버5,도와주셔서 정말 감사했습니다.,,7134,TRUE,
7135,선장,이야기는 들었네. 군대와 얘기를 하러 간다지?,,,FALSE,
7136,선장,그 통신 장비; 칩은 구할 수 있지만 안테나는 고칠 수 없네.,,,FALSE,
7137,선장,제인 1번지에 쓸만한 안테나는 더 이상 존재하지 않아.,,,FALSE,
7138,선장,어떤 멍청이들이 전부 뜯어서 무기로 만드는 데 썼지… 웃기지 않나?,,,FALSE,
7139,선장,…,,,FALSE,
7140,선장,다만; 한 가지 방법이 있어.,,,FALSE,
7141,선장,서쪽 부두에 있는; 반파된 유조선을 알고 있나? 그게 내가 몰던 배였지.,,,FALSE,
7142,선장,그 배의 갑판으로 가면 장거리 통신용 안테나가 있네.,,,FALSE,
7143,선장,그거라면 군대와 연결하는 것도 어렵지 않겠지.,,,FALSE,
7144,선장,보안 키는 나에게 있네. 당연히 그냥은 넘겨줄 수 없고…,,,FALSE,
7145,선장,늙은이의 가벼운 부탁 하나만 들어주는 게 어떤가?,,,FALSE,
7146,선장,하하하…,,,FALSE,
7147,선장,별 건 아니고; 이 편지를 사거리의 우체통에 넣고 와 주게.,,,FALSE,
7148,선장,…그 뿐이네.,CivilChoice2,7135,FALSE,
7149,선장,언젠가는; 그 편지도 전해질 수 있기를.,,7149,TRUE,Civil02Receive
7150,선장,해결하고 왔나?,,,FALSE,
7151,선장,좋아. 약속대로 보안 키는 여기 있네. 이제 가는 건가?,,,FALSE,
7152,선장,그나저나; 의사 양반이 할 말이 있는 모양이던데; 인사나 하고 가게나.,,7150,FALSE,
7153,선장,…어서 가게.,,7153,TRUE,
7154,의사,...가시는 건가요.,,,FALSE,
7155,의사,일손도 거들어 주시고; 여러모로 정말 감사했습니다.,,,FALSE,
7156,의사,이런 세상에서 차분히 대화를 나눌 수 있는 상대를 만나는 건 드문 일이지요.,,,FALSE,
7157,의사,혹시; 개인적인 부탁 하나만 드려도 괜찮겠습니까?,,,FALSE,
7158,의사,통신 장비를 고치고; 군대와 교신하게 된다면. 혹시 제게 기회를 주실 수 있습니까?,,,FALSE,
7159,의사,제인 1번지의 미래에 대해서… 그 사람들과 해야 할 대화가 많습니다.,,,FALSE,
7160,의사,괜찮으시다면; 부탁드리겠습니다.,,,FALSE,
7161,의사,군대와 교신하게 된다면. 부디 저에게 연결해 주십시오.,,,TRUE,
7162,우체통,우체통에 편지를 넣었다.,,7162,TRUE,Civil02Clear
7163,PC,…군용 통신 칩. 멀쩡해 보이는군.,,,FALSE,
7164,PC,이거라면 망가진 기판을 고치기에 충분하겠지.,,,TRUE,
7165,PC,F-05; 현재 민간 안테나 A-14를 통해 송신 중. 파일럿; 응답 바란다.,,,FALSE,
7166,파일럿,본 채널은 군용 주파수다. 식별 요청. 비인가일 경우 즉시 송신 중단하라. ,,,FALSE,
7167,PC,이동형 통신 단말 F-05; 인가 번호 R0135-25. ,,,FALSE,
7168,파일럿,F-05 식별 완료. 송신 상태 양호. 구조 요청 승인되었다. 현 위치 보고하라. ,,,FALSE,
7169,PC,제인 1번지; 웨스트번 서쪽 부두; 반파된 유조선 갑판 위.,,,FALSE,
7170,파일럿,위치 확인. 현재 작전 통제 하에 있음. 현 위치에서 대기하라. ,,,FALSE,
7171,PC,작전? 공습을 말하는 건가? ,,,FALSE,
7172,파일럿,...그렇다. 베스퍼 편대가 출격 대기 중.,,,FALSE,
7173,PC,...이럴 수가.,,,FALSE,
7174,PC,정말로 군이 민간 폭격을…?,,,FALSE,
7175,파일럿,F-05; 수신 여부 확인. 응답 바란다. 들리나?,,,FALSE,
7176,PC,…수신 양호.,,,FALSE,
7177,파일럿,추가적으로 보고할 사항이 있다면 전송 바람.,,,FALSE,
7178,PC,파일럿; 공습 관련하여 민간 통신망과의 연결 허가를 요청한다.,,,FALSE,
7179,PC,작전 책임자와의 직접 교신을 희망한다. 승인 여부 확인 바람.,,,TRUE,