ItemID,Name,EtcType,MaxStack,SoundResource,Parameter1,Parameter2
3001,권총 탄약,탄약,1,,,
3002,쪽지,쪽지,1,Book 03,,
3003,특수 키,특수 키,1,Locker 9,,
3004,일반 키,일반 키,10,Locker 9,,
3005,통신 장비,퀘스트,1,,,
3006,통신칩,퀘스트,1,,,
3007,크랭크,퀘스트,1,,,
3008,의료용 파우치,퀘스트,1,,,
3009,선장의 편지,퀘스트,1,,,
3010,접어놓은 편지,힌트,1,Book 03,밤에는 절대로 준비 없이 밖에 돌아다니지 마. 왠만하면 그냥 안전한 곳에 있어.\n2층에 먹을 것을 조금 둘게. 조용히 챙겨 놔.,
3011,낡은 편지,힌트,1,Book 03,고집 피우지 말고; 사람들이 모여 있는 곳으로 가라; 토미.\n요즘같은 세상에 사람 믿기 힘든 건 알지만; 너 그렇게 혼자 다니면 정말 죽는다고.,
3012,구겨진 편지,힌트,1,Book 03,죽일 자신 없으면; 자세 낮추고 아무 소리도 내지 마.\n머리도 없는 주제에 귀가 밝은 놈이야. 부스럭거리는 소리까지 다 듣는다고!,
3013,찢어진 편지,힌트,1,Book 03,몸집이 거대한 놈을 봤어. 변이체인 것 같아.\n저게 사람이었다니; 말도 안돼; 그건…,
3014,쓰다 만 편지,힌트,1,Book 03,언젠가는 병원으로 다시 돌아가야 할 겁니다; 대장.\n그곳에 놓고 온 물건들이 너무 많아요.\n\n시민 공동체라고 했었죠?\n그 미친놈들은 좀비들이 두렵지도 않은지; 아예 옆에다 살림을 차렸던데.,
3015,더러워진 편지,힌트,1,Book 03,또다시 물자가 부족해지고 있어. 이번엔 공사장에 가 볼까 해.\n쓸만한 물건이 많아 보이는데; 어째서 아무도 건드리지 않은 걸까?,
3016,피투성이 편지,힌트,1,Book 03,가지 말 걸 그랬어. 총도 두고 와 버렸어.\n너무 아파; 집에 가고 싶어.\n\n놈들의 수가 너무 많아…,
3017,작은 쪽지,로어,1,Book 03,제인 1번지도 더 이상 안전하지 않아.\n조만간이야; 모두 죽게 될 거야…,
3018,생존자의 낙서 #1,로어,1,Book 03,앞으로 일주일 후면 군대가 올 것이다. 여기 있는 놈들은 한 놈도 빠짐없이 총살당할 거야.\n사람이든; 좀비든; 그게 누구든 간에.,
3019,생존자의 낙서 #2,로어,1,Book 03,아아; 확실해. 물린 곳이 파랗게 변해 가잖아.\n미안; 니키타. 이렇게 허무하게 끝날 줄은 몰랐는데…,
3020,생존자의 낙서 #3,로어,1,Book 03,소중한 가족; 친구; 또는 연인이 좀비에 감염되셨다구요?\n그렇다면 양파를 먹어 보세요! 아무일도 벌어지지 않을 거에요. 전부 죽어버려.,
3021,웨스트번 지역 신문 23호,로어,1,Book 03,* 특이사항 발견 시 신고.\n* 자택에 바리케이드를 설치하십시오.\n* 감염자와의 일체 접촉 금지\n* 공식 지침을 기다리십시오.,
3022,웨스트번 지역 신문 48호,로어,1,Book 03,정부는 분기마다 새로운 감염 방지 대책을 발의했으나; 번번히 실패로 돌아갔습니다.\n정부에 대한 시민들의 신뢰는 무너진 지 오래지만; 이번에는 조금 다를 것이라고 정부 관계자는 이야기합니다.\n그러나 이번 정부의 신규 감염병 대책은 세부적인 내용조차 공개되지 않았으며; 생필품 배급과 의료 지원과 관련한 불만의 목소리는 여전히 줄어들지 않고 있습니다.,
3023,웨스트번 지역 신문 51호,로어,1,Book 03,군 당국이 서부 민간 지역에 대한 대대적인 폭격을 시행했다는 의혹이 제기되었습니다.\n현재 중부를 포함한 국내 중 서부 지역에는 통행 금지 명령이 떨어졌으며; 외부 인원들의 자유로운 출입이 불가능한 상황입니다.\n현재 저희 언론에서는 정확한 경위를 파악하기 위해 취재 중이며; 새로운 정보를 입수하는대로 신속히 전달해 드리도록 하겠습니다.,